,OriginalPrice,SalePrice,Discount,Ratings,Comments,Media,Brand,QtySold,Favourites,link,SubCat1,SubCat2,SubCat3,Content,LogQtySold,NORPercent
1186,6.5,6.5,0,5.0,2,2,SCOTT'S,26,4,https://shopee.sg/SCOTT'S-Multivitamins-Gummies-Apple-15s-i.195238920.9849188351?sp_atk=4fad2a85-6f1a-426c-b9e0-9f5dbf672271,"Toys, Kids & Babies",Feeding & Nursing,Kids and Baby Supplements,708.0,3.258096538021482,0.07692307692307693
1187,1.5,1.5,0,5.0,0,0,Cloversoft,12,0,https://shopee.sg/Cloversoft-Unbleached-Organic-Bamboo-Anti-Bacteria-Wipes-15S-i.195238920.11262362782?sp_atk=67bc6226-75ed-47b4-9a99-8f0f6dcbd9fa,Home & Living,Housekeeping,Tissue & Wipes,1092.0,2.4849066497880004,0.08333333333333333
1188,14.9,14.9,0,5.0,1,1,Eu Yan Sang,9,1,https://shopee.sg/Eu-Yan-Sang-Heat-Explusion-3G-X-10-i.195238920.4809140669?sp_atk=ac2b47ab-8124-4afb-9e46-4ac3ab0d16e4,Health & Wellness,OTC Medications,Traditional Medications,903.0,2.1972245773362196,0.2222222222222222
1189,19.5,19.5,0,5.0,0,0,Beneprotein,7,1,https://shopee.sg/Beneprotein-Unflavoured-Instant-Protein-Powder-227G-i.195238920.13733414348?sp_atk=54856856-bf67-4a86-ac50-12b66a91f778,Health & Wellness,Food Nutrition,Others,665.0,1.9459101490553132,0.14285714285714285
1190,26.95,26.95,0,5.0,0,0,TENA,7,0,https://shopee.sg/Tena-Pants-Super-L-Size-12's-i.195238920.11159855716?sp_atk=df1a9bda-f3a1-43cb-9931-c23eef57a0b1,Health & Wellness,Senior Care,Others,425.0,1.9459101490553132,0.14285714285714285
1191,15.9,15.9,0,5.0,0,0,L'OREAL PARIS,10,2,https://shopee.sg/LOREAL-PARIS-Hair-Expert-Hair-Expertise-EverPure-Moisture-Shampoo-250ml-i.195238920.9849376374?sp_atk=5ff2a9e3-9798-4b32-a2f9-f7239dbba098,Beauty & Personal Care,Women's Hair Care,Shampoo,167.0,2.302585092994046,0.2
1192,6.6,6.6,0,5.0,2,2,KODOMO,8,1,https://shopee.sg/KODOMO-Cooling-Adhesive-6s-i.195238920.3983344332?sp_atk=cf2b04d5-bc05-4195-b066-a7999a2e2c88,"Toys, Kids & Babies",Bath & Baby Care,Ointments & Lotions,1102.0,2.0794415416798357,0.25
1193,2.5,2.5,0,5.0,1,1,Watsons,12,1,https://shopee.sg/WATSONS-Disposable-Underwear-Polypropylene-Men-Xl-Size-7s-i.195238920.3507842328?sp_atk=1365f8da-e681-436a-b486-02649f93c757,Men's wear,Underwear,Briefs,558.0,2.4849066497880004,0.08333333333333333
1194,22.9,22.9,0,5.0,0,0,TIGER BALM,5,4,https://shopee.sg/Tiger-Joint-Rub-113Ml-i.195238920.3507800489?sp_atk=82c088e7-0b24-4f05-9805-3ae0182c2b20,Health & Wellness,OTC Medications,Topical Ointment & Creams,399.0,1.6094379124341003,0.2
1195,33.9,30.4,10,5.0,0,0,Nature's Way,17,1,https://shopee.sg/Natures-Way-Kids-Smart-Dha-Triple-Strength-Burslets-300MG-50S-i.195238920.3006290469?sp_atk=e528ca0f-436f-4c70-97e9-9ccf3cb8ee66,"Toys, Kids & Babies",Feeding & Nursing,Kids and Baby Supplements,1619.0,2.833213344056216,0.058823529411764705
